path,split,task,metric,n,n_positive,tied_groups,tied_rows,old_ap,new_ap,delta,archived_ap,status
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_ic50,mapping_flanks_agree_threshold_500nm_auprc,119,73,20,58,0.875586845741461,0.8675064995637681,-0.008080346177692821,0.875586845741461,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_ic50,mapping_single_threshold_500nm_auprc,398,157,9,18,0.8662782061747467,0.8633904570294466,-0.0028877491453001003,0.8662782061747467,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_ic50,mapping_unmapped_threshold_500nm_auprc,211,96,17,37,0.7884680171336065,0.7886494040072116,0.00018138687360513828,0.7884680171336065,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_ic50,mapping_within_gene_canonical_threshold_500nm_auprc,10,4,2,5,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_ec50,threshold_500nm_auprc,15,2,0,0,0.7,0.7,0.0,0.7,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_ec50,mapping_single_threshold_500nm_auprc,2,1,0,0,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_affinity_probe,threshold_500nm_auprc,1667,725,473,1033,0.8679276689734569,0.8674196989105815,-0.0005079700628753958,0.8679276689734569,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_affinity_probe,mapping_cross_gene_unresolved_threshold_500nm_auprc,23,12,4,9,0.9167598605098606,0.9179503367003368,0.0011904761904761862,0.9167598605098606,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_affinity_probe,mapping_flanks_agree_threshold_500nm_auprc,231,151,61,171,0.9168044538552232,0.9140956588200823,-0.0027087950351409873,0.9168044538552232,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_affinity_probe,mapping_single_threshold_500nm_auprc,780,296,325,672,0.858266205403012,0.8575151529854498,-0.0007510524175622368,0.858266205403012,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_affinity_probe,mapping_unmapped_threshold_500nm_auprc,616,258,79,171,0.8506426023026992,0.8506067003516132,-3.590195108593708e-05,0.8506426023026992,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_affinity_probe,mapping_within_gene_canonical_threshold_500nm_auprc,13,4,2,6,0.8166666666666667,0.8333333333333333,0.016666666666666607,0.8166666666666667,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,foreignness,auprc,3516,1286,674,1499,0.7867316532109941,0.7868809950307355,0.0001493418197413554,0.7867316532109941,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,foreignness,mapping_cross_gene_unresolved_auprc,202,3,17,46,0.04484593837535014,0.051120448179271714,0.006274509803921573,0.04484593837535014,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,foreignness,mapping_flanks_agree_auprc,1438,145,155,390,0.43374753668306837,0.43989519491502566,0.006147658231957287,0.43374753668306837,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,foreignness,mapping_single_auprc,1142,739,370,768,0.9422337873037976,0.942287369028386,5.3581724588358526e-05,0.9422337873037976,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,foreignness,mapping_unmapped_auprc,486,397,102,224,0.8479018020310938,0.8485622413943152,0.0006604393632214656,0.8479018020310938,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,foreignness,mapping_within_gene_unresolved_auprc,10,2,3,6,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/val_predictions.csv,val,binding,threshold_500nm_auprc,1619,672,417,922,0.8636775899199785,0.8636809860047779,3.396084799489607e-06,0.8636775899199785,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/val_predictions.csv,val,binding,mapping_cross_gene_unresolved_threshold_500nm_auprc,39,16,8,27,0.9608630952380952,0.9616071428571429,0.0007440476190476719,0.9608630952380952,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/val_predictions.csv,val,binding,mapping_flanks_agree_threshold_500nm_auprc,202,118,56,130,0.8924158384285897,0.8919640881586154,-0.0004517502699743492,0.8924158384285897,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/val_predictions.csv,val,binding,mapping_single_threshold_500nm_auprc,721,254,282,594,0.8536739343650566,0.853824012675817,0.00015007831076041533,0.8536739343650566,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/val_predictions.csv,val,binding,mapping_unmapped_threshold_500nm_auprc,620,268,61,144,0.8583922039839366,0.8582582913707761,-0.00013391261316042513,0.8583922039839366,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/val_predictions.csv,val,binding,mapping_within_gene_canonical_threshold_500nm_auprc,31,10,7,21,0.7365179265179265,0.7539072039072039,0.017389277389277424,0.7365179265179265,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/val_predictions.csv,val,binding_kd,threshold_500nm_auprc,120,46,0,0,0.8762355841620257,0.8762355841620257,0.0,0.8762355841620257,verified_unchanged
