split,scope,metric,mean_delta_masked_minus_legacy,std_delta,min_delta,max_delta,n_seeds
test,unresolved_union,threshold_500nm_auroc,-0.010652843512884128,0.011231775379788415,-0.02352941176470591,-0.002873563218390829,3
test,unresolved_union,threshold_500nm_auprc,-0.00950135612681254,0.00969802485886471,-0.019802308899428356,-0.0005470047234448216,3
test,unmapped,all_spearman,-0.0027065149648271003,0.011009549553443907,-0.015413023948960713,0.003991200623498448,3
test,unmapped,all_pearson,-0.0013472202296819964,0.008230330079583409,-0.010008650912684658,0.0063706837855649345,3
test,unmapped,all_rmse,0.0015938246941136953,0.028390442358702816,-0.01852367722515902,0.034068681576029936,3
test,unmapped,exact_spearman,0.0033053348952786963,0.014692628585200656,-0.010460904228457135,0.018775731676018093,3
test,unmapped,exact_pearson,-0.004270183515726389,0.005178462884785398,-0.00908206338922768,0.0012099777714388305,3
test,unmapped,exact_rmse,0.01060948505457393,0.011677490638999779,-0.0008949179117152539,0.022452689896431677,3
test,unmapped,threshold_500nm_accuracy,0.00045440810613754196,0.018527097498184944,-0.020864381520119157,0.012658227848101222,3
test,unmapped,threshold_500nm_balanced_accuracy,0.00034752394753057025,0.016107717586779736,-0.018160894738734834,0.011194653299916535,3
test,unmapped,threshold_500nm_precision,0.00199800494271396,0.03245318190796206,-0.03547544409613379,0.02085505735140769,3
test,unmapped,threshold_500nm_recall,6.808516882746603e-05,0.009212485260402265,-0.010452961672473893,0.006688963210702337,3
test,unmapped,threshold_500nm_f1,0.0009619684775171722,0.015961918701494552,-0.017082634047812628,0.013236513336573275,3
test,unmapped,threshold_500nm_auroc,-0.0015075510707071027,0.005887067088587234,-0.008298270219728843,0.0021564327485380508,3
test,unmapped,threshold_500nm_auprc,-0.0018773041556432075,0.005489899643843886,-0.005546509185641035,0.004434093969538977,3
